student_id,student_name,age,gender,previous_grades,attendance_percentage,study_hours_per_week,assignments_submitted,exam_scores,student_success
31,Arjun Saxena,21.0,,,55.0,6.0,8.0,90.0,0
32,Ishaan Mehta,17.0,Male,96.0,74.0,31.0,13.0,33.0,1
33,Diya Malhotra,20.0,Female,99.0,95.0,18.0,16.0,46.0,1
34,Arjun Patel,18.0,Male,58.0,89.0,1.0,13.0,86.0,0
35,Isha Das,22.0,Male,86.0,78.0,9.0,3.0,77.0,0
36,Vihaan Saxena,21.0,Female,91.0,,16.0,4.0,73.0,0
37,Ira Patel,20.0,Male,53.0,89.0,36.0,16.0,,0
38,Riya Khanna,17.0,Male,95.0,62.0,11.0,1.0,62.0,0
39,Isha Gupta,17.0,Female,77.0,87.0,5.0,4.0,60.0,0
40,Krishna Saxena,19.0,Male,92.0,67.0,21.0,,76.0,0
41,Pari Choudhary,19.0,Male,75.0,51.0,31.0,3.0,35.0,0
42,Ananya Gupta,23.0,Male,79.0,57.0,19.0,5.0,63.0,0
43,Vivaan Verma,18.0,Male,56.0,60.0,0.0,19.0,82.0,0
44,Krishna Das,24.0,Female,69.0,82.0,5.0,12.0,43.0,0
45,Aarav Patel,20.0,Female,48.0,87.0,18.0,,45.0,0
46,Pari Chopra,20.0,Female,72.0,97.0,17.0,6.0,72.0,1
47,Arjun Patel,24.0,Male,95.0,76.0,5.0,19.0,41.0,0
48,Ishaan Bose,23.0,Male,91.0,69.0,32.0,0.0,99.0,0
49,Aarav Chopra,22.0,Female,64.0,61.0,,13.0,48.0,0
50,Vivaan Sharma,22.0,Male,53.0,92.0,22.0,3.0,70.0,0
51,Pari Mehta,23.0,Male,50.0,80.0,,16.0,82.0,0
52,Aadhya Bansal,22.0,Male,92.0,76.0,12.0,13.0,58.0,1
53,Myra Mehta,19.0,Male,74.0,81.0,6.0,15.0,99.0,0
54,Vivaan Mehta,20.0,Female,80.0,59.0,14.0,13.0,88.0,0
55,Riya Agarwal,23.0,Female,98.0,52.0,26.0,15.0,93.0,0
56,Saanvi Singh,20.0,Female,53.0,94.0,25.0,19.0,53.0,0
57,Aditya Sharma,,,,76.0,32.0,7.0,45.0,1
58,Ishaan Das,17.0,Female,80.0,84.0,14.0,,81.0,1
59,Riya Gupta,19.0,Female,43.0,80.0,35.0,18.0,35.0,0
60,Aryan Kapoor,21.0,Male,98.0,64.0,26.0,0.0,66.0,0
61,Ira Choudhary,19.0,Male,43.0,65.0,4.0,,33.0,0
62,Krishna Singh,23.0,Female,67.0,62.0,1.0,14.0,67.0,0
63,Ishaan Das,21.0,Female,47.0,98.0,,9.0,70.0,0
64,Sai Mehta,17.0,Female,41.0,84.0,15.0,17.0,,0
65,Vihaan Patel,23.0,Female,80.0,60.0,22.0,13.0,80.0,0
66,Aadhya Singh,,Male,85.0,70.0,37.0,16.0,94.0,0
67,Aarav Saxena,20.0,Female,61.0,60.0,15.0,12.0,81.0,0
68,Aadhya Patel,17.0,Female,80.0,79.0,13.0,0.0,59.0,1
69,Rohan Patel,20.0,Male,95.0,,28.0,4.0,86.0,1
70,Riya Verma,22.0,Female,94.0,84.0,25.0,12.0,59.0,1
71,Riya Sharma,18.0,Male,55.0,71.0,34.0,13.0,71.0,0
72,Vihaan Gupta,18.0,Male,68.0,87.0,14.0,2.0,40.0,1
73,Pihu Agarwal,17.0,,,80.0,2.0,14.0,56.0,0
74,Saanvi Mishra,18.0,Female,87.0,63.0,22.0,18.0,53.0,0
75,Pihu Reddy,21.0,Female,69.0,73.0,28.0,16.0,68.0,1
76,Vihaan Chopra,18.0,Male,51.0,99.0,33.0,2.0,47.0,0
77,Isha Chopra,20.0,Female,74.0,98.0,32.0,15.0,74.0,1
78,Vivaan Das,20.0,Female,50.0,81.0,22.0,13.0,41.0,0
79,Pihu Chopra,23.0,Male,85.0,85.0,6.0,11.0,78.0,0
80,Myra Reddy,20.0,Male,89.0,81.0,2.0,,60.0,0
81,Krishna Patel,23.0,Female,60.0,64.0,31.0,10.0,51.0,0
82,Aadhya Malhotra,20.0,Male,60.0,92.0,30.0,16.0,73.0,0
83,Aryan Nair,21.0,Female,44.0,84.0,17.0,7.0,93.0,0
84,Aryan Verma,24.0,Female,87.0,52.0,6.0,16.0,54.0,0
85,Riya Chopra,23.0,Female,59.0,65.0,0.0,19.0,80.0,0
86,Pihu Khanna,19.0,Female,76.0,54.0,13.0,10.0,36.0,0
87,Ishaan Bansal,22.0,Male,42.0,70.0,31.0,1.0,35.0,0
88,Aditya Mehta,17.0,Male,83.0,59.0,5.0,9.0,53.0,0
89,Isha Malhotra,20.0,Male,72.0,68.0,38.0,9.0,48.0,0
90,Vivaan Bansal,18.0,Male,92.0,74.0,9.0,10.0,,0
91,Isha Bansal,24.0,Female,48.0,53.0,6.0,5.0,65.0,0
92,Ishaan Mehta,20.0,Female,48.0,78.0,25.0,3.0,69.0,0
93,Diya Mishra,18.0,Male,43.0,68.0,33.0,,53.0,0
94,Diya Mishra,22.0,Female,74.0,92.0,29.0,10.0,77.0,1
95,Ira Das,22.0,Female,56.0,51.0,35.0,12.0,92.0,0
96,Vivaan Mehta,22.0,,,59.0,20.0,4.0,98.0,0
97,Vivaan Khanna,18.0,Male,63.0,92.0,16.0,5.0,82.0,1
98,Arjun Kumar,20.0,Male,71.0,74.0,32.0,0.0,83.0,1
99,Vivaan Saxena,22.0,Male,40.0,69.0,9.0,5.0,71.0,0
100,Aarav Kapoor,21.0,Female,47.0,97.0,11.0,17.0,74.0,0
101,Aadhya Sharma,23.0,Male,84.0,68.0,15.0,8.0,43.0,0
102,Vivaan Reddy,18.0,Male,62.0,72.0,,14.0,58.0,1
103,Aarav Sharma,18.0,Male,86.0,73.0,14.0,7.0,35.0,1
104,Riya Kapoor,20.0,Male,79.0,60.0,26.0,18.0,36.0,0
105,Diya Saxena,18.0,Male,51.0,95.0,27.0,15.0,66.0,0
106,Aryan Saxena,18.0,Male,93.0,83.0,16.0,5.0,82.0,1
107,Aadhya Saxena,22.0,Female,51.0,77.0,1.0,5.0,47.0,0
108,Saanvi Reddy,20.0,Female,85.0,54.0,35.0,2.0,67.0,0
109,Aarav Das,22.0,Male,86.0,54.0,6.0,9.0,88.0,0
110,Myra Nair,23.0,Male,54.0,70.0,12.0,0.0,30.0,0
111,Sai Reddy,24.0,Female,80.0,61.0,14.0,13.0,97.0,0
112,Rohan Agarwal,,Female,58.0,99.0,24.0,3.0,73.0,0
113,Isha Singh,24.0,Male,65.0,53.0,22.0,11.0,76.0,0
114,Pari Agarwal,22.0,Male,91.0,98.0,21.0,5.0,64.0,1
115,Diya Patel,23.0,Male,68.0,91.0,25.0,10.0,89.0,1
116,Pihu Mishra,20.0,Male,61.0,69.0,32.0,11.0,81.0,0
117,Riya Kumar,17.0,Female,79.0,87.0,10.0,9.0,37.0,0
118,Riya Das,22.0,Male,60.0,74.0,9.0,17.0,70.0,0
119,Rohan Reddy,24.0,Male,90.0,63.0,24.0,6.0,32.0,0
120,Vihaan Bansal,21.0,Male,77.0,60.0,36.0,6.0,98.0,0
121,Vihaan Malhotra,,Male,59.0,81.0,37.0,10.0,43.0,0
122,Ishaan Agarwal,21.0,Female,96.0,60.0,23.0,3.0,55.0,0
123,Ishaan Bansal,18.0,Female,68.0,67.0,39.0,19.0,99.0,0
124,Aadhya Khanna,23.0,Female,90.0,76.0,32.0,0.0,87.0,1
125,Riya Malhotra,21.0,Male,43.0,67.0,16.0,12.0,69.0,0
126,Vivaan Das,24.0,Male,94.0,72.0,23.0,17.0,80.0,1
127,Aadhya Bose,,Female,46.0,60.0,36.0,8.0,34.0,0
128,Riya Malhotra,17.0,Male,67.0,70.0,1.0,8.0,61.0,0
129,Pari Bose,20.0,Male,67.0,93.0,31.0,8.0,30.0,1
130,Aarav Gupta,20.0,Female,43.0,54.0,23.0,9.0,83.0,0
131,Isha Reddy,20.0,Female,61.0,72.0,8.0,1.0,40.0,0
132,Vivaan Singh,21.0,Female,51.0,90.0,3.0,5.0,82.0,0
133,Riya Das,17.0,Female,84.0,74.0,16.0,14.0,37.0,1
134,Sai Gupta,21.0,Male,42.0,90.0,16.0,2.0,54.0,0
135,Aditya Gupta,23.0,Male,61.0,59.0,29.0,10.0,69.0,0
136,Aryan Kumar,21.0,Female,83.0,71.0,39.0,5.0,61.0,1
137,Pihu Gupta,17.0,Male,41.0,68.0,10.0,2.0,57.0,0
138,Rohan Mehta,17.0,Female,63.0,50.0,20.0,10.0,32.0,0
139,Sai Choudhary,23.0,Female,73.0,56.0,20.0,14.0,91.0,0
140,Sai Bose,17.0,Male,66.0,53.0,17.0,12.0,56.0,0
141,Krishna Kumar,24.0,,,50.0,28.0,19.0,74.0,0
142,Ishaan Khanna,17.0,Male,80.0,64.0,23.0,9.0,54.0,0
143,Krishna Mishra,20.0,Male,40.0,89.0,9.0,5.0,90.0,0
144,Ananya Khanna,24.0,Male,47.0,61.0,16.0,14.0,73.0,0
145,Aditya Bansal,24.0,Male,62.0,71.0,17.0,17.0,,1
146,Vivaan Agarwal,23.0,Female,77.0,71.0,19.0,17.0,43.0,1
147,Isha Choudhary,19.0,Male,45.0,99.0,36.0,6.0,37.0,0
148,Pari Bansal,19.0,Female,61.0,96.0,17.0,,77.0,1
149,Aditya Mehta,17.0,Female,64.0,66.0,16.0,,43.0,0
150,Isha Patel,24.0,Female,57.0,78.0,8.0,17.0,94.0,0
151,Ishaan Choudhary,19.0,Female,56.0,95.0,13.0,19.0,,0
152,Ira Chopra,19.0,Male,51.0,63.0,,8.0,78.0,0
153,Aarav Mishra,17.0,Male,45.0,99.0,30.0,1.0,84.0,0
154,Aditya Kumar,19.0,Female,65.0,69.0,3.0,7.0,42.0,0
155,Ishaan Gupta,21.0,Female,66.0,99.0,17.0,19.0,85.0,1
156,Pari Bansal,18.0,Male,47.0,97.0,19.0,1.0,85.0,0
157,Isha Mehta,23.0,Female,58.0,82.0,8.0,10.0,44.0,0
158,Aarav Chopra,18.0,Male,99.0,92.0,12.0,6.0,86.0,1
159,Saanvi Bansal,17.0,Female,81.0,64.0,14.0,5.0,87.0,0
160,Myra Nair,20.0,Male,40.0,61.0,26.0,9.0,64.0,0
161,Saanvi Bose,23.0,,,89.0,14.0,4.0,45.0,1
162,Myra Chopra,17.0,Female,68.0,69.0,27.0,,37.0,0
163,Ishaan Khanna,24.0,Male,84.0,79.0,36.0,0.0,74.0,1
164,Riya Mishra,20.0,Female,88.0,87.0,18.0,1.0,69.0,1
165,Diya Saxena,18.0,,,,25.0,0.0,83.0,0
166,Ishaan Mehta,,,,77.0,25.0,18.0,43.0,1
167,Vihaan Verma,24.0,Female,53.0,75.0,24.0,1.0,88.0,0
168,Myra Mishra,23.0,Male,74.0,79.0,25.0,19.0,82.0,1
169,Vivaan Sharma,23.0,Male,87.0,62.0,25.0,3.0,56.0,0
170,Arjun Gupta,,Female,84.0,62.0,27.0,11.0,76.0,0
171,Pihu Patel,24.0,Female,59.0,51.0,17.0,19.0,35.0,0
172,Krishna Malhotra,21.0,Female,95.0,86.0,31.0,17.0,84.0,1
173,Aarav Nair,19.0,Female,88.0,98.0,2.0,0.0,73.0,0
174,Ananya Choudhary,20.0,Female,52.0,87.0,1.0,0.0,47.0,0
175,Diya Chopra,24.0,Female,77.0,51.0,32.0,13.0,45.0,0
176,Vihaan Sharma,22.0,Female,88.0,85.0,18.0,3.0,41.0,1
177,Isha Gupta,19.0,,,75.0,16.0,4.0,49.0,1
178,Ishaan Kumar,19.0,Female,88.0,60.0,32.0,10.0,74.0,0
179,Vihaan Malhotra,17.0,Male,47.0,57.0,,12.0,93.0,0
180,Vivaan Reddy,19.0,Female,82.0,93.0,2.0,15.0,88.0,0
181,Pari Saxena,21.0,Female,59.0,89.0,25.0,,51.0,0
182,Aadhya Verma,23.0,Male,99.0,92.0,,1.0,76.0,1
183,Pari Patel,22.0,,,71.0,7.0,15.0,58.0,0
184,Myra Mehta,19.0,Female,65.0,69.0,35.0,5.0,74.0,0
185,Vivaan Kumar,17.0,Male,78.0,57.0,6.0,13.0,38.0,0
186,Aarav Singh,21.0,Female,60.0,78.0,35.0,0.0,53.0,0
187,Ananya Khanna,18.0,Female,92.0,89.0,15.0,16.0,44.0,1
188,Vivaan Gupta,23.0,Female,88.0,75.0,23.0,10.0,65.0,1
189,Pari Kumar,23.0,Male,81.0,79.0,0.0,18.0,42.0,0
190,Aditya Reddy,22.0,Female,82.0,,24.0,2.0,73.0,0
191,Pari Chopra,23.0,Female,93.0,69.0,9.0,,,0
192,Vihaan Reddy,19.0,Female,80.0,65.0,15.0,4.0,90.0,0
193,Myra Kumar,17.0,Female,48.0,95.0,15.0,16.0,69.0,0
194,Vivaan Bose,23.0,Male,63.0,92.0,7.0,6.0,56.0,0
195,Aryan Sharma,,Male,76.0,56.0,,9.0,30.0,0
196,Rohan Khanna,18.0,Female,88.0,65.0,38.0,10.0,63.0,0
197,Vihaan Mehta,18.0,Female,80.0,94.0,27.0,2.0,97.0,1
198,Saanvi Nair,20.0,Male,56.0,96.0,5.0,19.0,50.0,0
199,Ananya Bansal,21.0,Male,63.0,97.0,,9.0,62.0,1
200,Isha Das,19.0,Female,60.0,76.0,19.0,9.0,36.0,0
201,Ishaan Patel,23.0,Male,90.0,72.0,15.0,13.0,94.0,1
202,Ira Nair,24.0,Female,98.0,73.0,6.0,11.0,32.0,0
203,Aarav Chopra,23.0,Male,78.0,58.0,13.0,14.0,80.0,0
204,Ananya Das,17.0,Male,94.0,84.0,25.0,9.0,83.0,1
205,Krishna Saxena,20.0,Male,80.0,69.0,25.0,9.0,88.0,0
206,Isha Das,,Male,78.0,86.0,13.0,18.0,35.0,1
207,Myra Sharma,24.0,Female,52.0,91.0,6.0,,58.0,0
208,Diya Kumar,20.0,Male,50.0,66.0,32.0,9.0,46.0,0
209,Isha Singh,22.0,Male,85.0,96.0,25.0,1.0,89.0,1
210,Ishaan Bansal,21.0,Female,58.0,80.0,19.0,16.0,51.0,0
211,Sai Reddy,23.0,Male,50.0,57.0,2.0,6.0,53.0,0
212,Arjun Sharma,23.0,Male,52.0,64.0,3.0,6.0,80.0,0
213,Saanvi Singh,21.0,Female,85.0,80.0,25.0,19.0,79.0,1
214,Vivaan Mehta,23.0,Male,84.0,79.0,10.0,8.0,40.0,0
215,Rohan Agarwal,19.0,Female,40.0,95.0,1.0,1.0,85.0,0
216,Aditya Kapoor,21.0,Female,79.0,69.0,13.0,13.0,71.0,0
217,Diya Chopra,20.0,Female,83.0,88.0,29.0,16.0,68.0,1
218,Isha Malhotra,21.0,Female,58.0,61.0,11.0,0.0,98.0,0
219,Ananya Kapoor,24.0,Male,51.0,98.0,25.0,8.0,77.0,0
220,Ira Das,23.0,Female,47.0,66.0,32.0,19.0,86.0,0
221,Rohan Reddy,19.0,Male,47.0,91.0,12.0,18.0,50.0,0
222,Ishaan Singh,19.0,,,79.0,,,49.0,1
223,Myra Singh,22.0,Male,84.0,78.0,23.0,7.0,44.0,1
224,Krishna Khanna,20.0,Male,51.0,68.0,33.0,,98.0,0
225,Aryan Bose,18.0,Male,87.0,95.0,,3.0,80.0,1
226,Vihaan Nair,18.0,Male,72.0,60.0,20.0,8.0,91.0,0
227,Rohan Gupta,21.0,Male,84.0,83.0,27.0,8.0,66.0,1
228,Pihu Reddy,22.0,Male,65.0,99.0,35.0,,35.0,1
229,Aryan Saxena,17.0,Male,78.0,56.0,39.0,11.0,55.0,0
230,Aditya Saxena,21.0,Male,67.0,93.0,,9.0,37.0,0
231,Ishaan Saxena,22.0,Female,97.0,83.0,8.0,10.0,33.0,0
232,Aarav Verma,20.0,Female,44.0,69.0,22.0,6.0,50.0,0
233,Myra Singh,20.0,,,99.0,14.0,8.0,60.0,0
234,Ira Bansal,20.0,Male,64.0,87.0,12.0,5.0,50.0,1
235,Diya Kumar,20.0,Female,66.0,73.0,22.0,18.0,54.0,1
236,Krishna Mishra,20.0,Female,85.0,59.0,16.0,15.0,44.0,0
237,Sai Chopra,22.0,Female,62.0,81.0,1.0,14.0,64.0,0
238,Arjun Kumar,22.0,Male,69.0,64.0,19.0,6.0,78.0,0
239,Aryan Khanna,19.0,Male,84.0,86.0,19.0,15.0,72.0,1
240,Vivaan Kumar,24.0,Male,86.0,,2.0,4.0,70.0,0
241,Pihu Mishra,18.0,Male,62.0,,,15.0,66.0,0
242,Aadhya Khanna,,Female,88.0,86.0,39.0,0.0,86.0,1
243,Vivaan Reddy,20.0,Female,86.0,89.0,1.0,18.0,,0
244,Vivaan Khanna,17.0,Female,59.0,57.0,35.0,,76.0,0
245,Ishaan Choudhary,23.0,Female,57.0,89.0,13.0,6.0,90.0,0
246,Krishna Saxena,22.0,Male,57.0,93.0,15.0,18.0,43.0,0
247,Aditya Kapoor,17.0,Male,41.0,72.0,18.0,4.0,97.0,0
248,Pari Malhotra,17.0,Male,43.0,89.0,33.0,16.0,82.0,0
249,Ira Mehta,17.0,Female,69.0,60.0,,7.0,63.0,0
250,Arjun Chopra,19.0,Male,72.0,95.0,12.0,0.0,53.0,1
251,Aryan Chopra,22.0,Male,75.0,57.0,35.0,1.0,49.0,0
252,Aadhya Choudhary,17.0,Female,57.0,78.0,21.0,14.0,98.0,0
253,Vivaan Mehta,20.0,,,79.0,,19.0,59.0,1
254,Isha Gupta,21.0,Male,58.0,59.0,11.0,17.0,36.0,0
255,Myra Das,17.0,Male,86.0,88.0,29.0,10.0,,1
256,Ira Patel,19.0,Male,67.0,77.0,39.0,9.0,67.0,1
257,Vivaan Mishra,23.0,Male,79.0,98.0,6.0,3.0,81.0,0
258,Krishna Choudhary,22.0,Male,59.0,85.0,31.0,4.0,44.0,0
259,Arjun Verma,24.0,Male,88.0,62.0,18.0,3.0,75.0,0
260,Aadhya Khanna,19.0,Female,72.0,81.0,5.0,12.0,52.0,0
261,Aditya Saxena,17.0,Female,51.0,85.0,19.0,12.0,41.0,0
262,Krishna Nair,22.0,Female,97.0,86.0,26.0,17.0,73.0,1
263,Arjun Saxena,21.0,Male,90.0,75.0,36.0,1.0,44.0,1
264,Aditya Verma,17.0,Female,54.0,71.0,6.0,15.0,78.0,0
265,Ishaan Gupta,19.0,Male,80.0,53.0,,0.0,50.0,0
266,Vivaan Reddy,18.0,Male,78.0,80.0,10.0,18.0,44.0,0
267,Pari Gupta,20.0,Female,41.0,67.0,14.0,8.0,43.0,0
268,Aarav Khanna,24.0,Male,68.0,87.0,2.0,2.0,71.0,0
269,Myra Chopra,,Male,80.0,73.0,4.0,6.0,44.0,0
270,Vihaan Khanna,19.0,Female,49.0,72.0,22.0,9.0,92.0,0
271,Pihu Khanna,22.0,Female,41.0,71.0,36.0,0.0,97.0,0
272,Ishaan Singh,24.0,Female,90.0,51.0,8.0,9.0,56.0,0
273,Aarav Gupta,24.0,Male,50.0,80.0,14.0,8.0,82.0,0
274,Ishaan Gupta,24.0,,,60.0,2.0,14.0,81.0,0
275,Pari Patel,17.0,Female,49.0,77.0,28.0,14.0,92.0,0
276,Arjun Sharma,20.0,Male,53.0,95.0,5.0,2.0,82.0,0
277,Rohan Agarwal,17.0,Female,57.0,81.0,16.0,4.0,86.0,0
278,Ishaan Bose,22.0,Female,90.0,54.0,25.0,8.0,81.0,0
279,Ira Saxena,17.0,Female,93.0,87.0,20.0,8.0,72.0,1
280,Diya Das,18.0,Male,48.0,59.0,7.0,,36.0,0
281,Aditya Agarwal,20.0,Male,96.0,89.0,20.0,11.0,71.0,1
282,Aarav Kumar,20.0,Male,78.0,95.0,10.0,8.0,33.0,0
283,Isha Saxena,22.0,Male,67.0,73.0,37.0,5.0,98.0,1
284,Riya Verma,23.0,Female,42.0,84.0,7.0,1.0,34.0,0
285,Aditya Nair,18.0,Male,59.0,93.0,23.0,8.0,70.0,0
286,Myra Sharma,19.0,Male,45.0,97.0,34.0,16.0,33.0,0
287,Sai Das,17.0,Female,66.0,72.0,,0.0,31.0,1
288,Arjun Verma,21.0,Female,92.0,66.0,13.0,18.0,96.0,0
289,Ananya Saxena,17.0,Female,41.0,50.0,9.0,,50.0,0
290,Ira Mehta,24.0,Male,68.0,80.0,11.0,4.0,99.0,1
291,Vihaan Verma,17.0,Male,77.0,80.0,37.0,1.0,72.0,1
292,Arjun Kumar,19.0,Male,42.0,91.0,33.0,8.0,98.0,0
293,Aadhya Singh,,Female,55.0,,,13.0,38.0,0
294,Vivaan Bose,18.0,Female,69.0,83.0,,3.0,,1
295,Isha Mehta,18.0,Male,79.0,58.0,16.0,3.0,,0
296,Isha Malhotra,20.0,,,71.0,2.0,14.0,32.0,0
297,Myra Sharma,22.0,Female,56.0,62.0,30.0,7.0,78.0,0
298,Aarav Das,23.0,Female,80.0,74.0,0.0,3.0,46.0,0
299,Vihaan Bansal,21.0,Male,51.0,97.0,11.0,15.0,92.0,0
300,Ananya Malhotra,24.0,Female,74.0,67.0,38.0,3.0,84.0,0
301,Ishaan Das,17.0,Female,82.0,61.0,3.0,15.0,,0
302,Aditya Reddy,17.0,Male,40.0,89.0,12.0,11.0,63.0,0
303,Saanvi Choudhary,19.0,Male,94.0,66.0,33.0,15.0,98.0,0
304,Vihaan Kumar,22.0,Female,84.0,64.0,20.0,18.0,44.0,0
305,Ira Das,18.0,,,91.0,21.0,7.0,76.0,0
306,Isha Verma,21.0,Male,65.0,64.0,3.0,5.0,32.0,0
307,Pihu Chopra,20.0,Male,76.0,64.0,17.0,9.0,57.0,0
308,Pari Das,18.0,Female,60.0,88.0,4.0,4.0,32.0,0
309,Vihaan Saxena,24.0,Female,88.0,62.0,18.0,17.0,33.0,0
310,Ananya Kumar,22.0,Female,70.0,66.0,1.0,,60.0,0
311,Pari Bose,24.0,Female,64.0,81.0,11.0,9.0,74.0,1
312,Vivaan Malhotra,23.0,Male,62.0,58.0,16.0,6.0,88.0,0
313,Pari Mehta,20.0,Female,63.0,89.0,9.0,17.0,,0
314,Rohan Malhotra,23.0,Female,96.0,69.0,33.0,0.0,66.0,0
315,Ira Choudhary,19.0,Male,77.0,75.0,5.0,6.0,94.0,0
316,Isha Bose,24.0,Female,67.0,76.0,7.0,0.0,38.0,0
317,Myra Mehta,19.0,Male,60.0,70.0,10.0,14.0,46.0,0
318,Rohan Das,17.0,Female,93.0,67.0,11.0,3.0,94.0,0
319,Riya Choudhary,23.0,Female,82.0,62.0,8.0,19.0,32.0,0
320,Ira Patel,22.0,Male,57.0,65.0,1.0,9.0,55.0,0
321,Rohan Kapoor,24.0,Male,75.0,58.0,7.0,8.0,82.0,0
322,Aadhya Mishra,21.0,Female,74.0,61.0,10.0,1.0,60.0,0
323,Aditya Chopra,20.0,Female,84.0,93.0,35.0,13.0,55.0,1
324,Diya Kapoor,18.0,Female,94.0,87.0,9.0,15.0,52.0,0
325,Saanvi Nair,22.0,Male,48.0,68.0,20.0,0.0,59.0,0
326,Vivaan Saxena,22.0,Female,92.0,,19.0,1.0,39.0,0
327,Ananya Bansal,19.0,Male,77.0,84.0,7.0,6.0,93.0,0
328,Rohan Chopra,23.0,Male,97.0,97.0,35.0,9.0,51.0,1
329,Arjun Das,24.0,Female,69.0,67.0,28.0,19.0,44.0,0
330,Sai Das,24.0,Male,99.0,65.0,11.0,0.0,85.0,0
331,Aarav Mishra,17.0,Female,83.0,88.0,13.0,12.0,,1
332,Rohan Mehta,17.0,Female,73.0,53.0,20.0,0.0,76.0,0
333,Vivaan Mishra,20.0,Female,71.0,74.0,21.0,4.0,82.0,1
334,Saanvi Khanna,19.0,Female,42.0,81.0,20.0,15.0,82.0,0
335,Saanvi Sharma,22.0,Female,42.0,89.0,29.0,14.0,30.0,0
336,Isha Saxena,,Male,67.0,62.0,38.0,16.0,31.0,0
337,Vivaan Reddy,21.0,Male,83.0,94.0,19.0,15.0,87.0,1
338,Ishaan Agarwal,19.0,,,66.0,,12.0,48.0,0
339,Riya Chopra,20.0,Female,80.0,98.0,22.0,10.0,91.0,1
340,Aadhya Bansal,20.0,Male,62.0,86.0,6.0,16.0,41.0,0
341,Ananya Gupta,19.0,Male,79.0,55.0,8.0,16.0,55.0,0
342,Aryan Khanna,20.0,Male,50.0,68.0,0.0,1.0,56.0,0
343,Vihaan Sharma,19.0,Male,87.0,62.0,25.0,12.0,58.0,0
344,Ira Saxena,18.0,Female,71.0,75.0,37.0,13.0,44.0,1
345,Riya Chopra,19.0,Female,97.0,,37.0,10.0,75.0,0
346,Rohan Bansal,23.0,Male,98.0,80.0,21.0,9.0,30.0,1
347,Vihaan Reddy,19.0,Female,96.0,53.0,9.0,2.0,89.0,0
348,Ananya Gupta,20.0,Male,93.0,88.0,5.0,16.0,86.0,0
349,Isha Singh,24.0,Female,75.0,57.0,16.0,14.0,32.0,0
350,Sai Choudhary,23.0,Male,99.0,74.0,37.0,8.0,47.0,1
351,Krishna Kumar,20.0,Female,72.0,62.0,23.0,9.0,81.0,0
352,Aryan Malhotra,17.0,Male,63.0,81.0,9.0,7.0,89.0,0
353,Pari Bansal,17.0,Male,78.0,87.0,7.0,12.0,63.0,0
354,Krishna Bose,24.0,Female,73.0,87.0,20.0,17.0,89.0,1
355,Aarav Kumar,24.0,Male,95.0,77.0,5.0,4.0,55.0,0
356,Aryan Patel,23.0,Female,67.0,79.0,20.0,5.0,48.0,1
357,Diya Choudhary,18.0,Female,76.0,52.0,38.0,16.0,51.0,0
